Eload,G,T,Vw
0.838500811,43.9723628193673,8.3,4.2
0.829634338,288.10685256510783,8.3,4.800000000000001
0.814788399,4.311015962683069,8.3,4.6000000000000005
0.792035895,3.448812770146455,8.700000000000001,4.2
0.792231247,70.43075127621732,8.8,3.9
0.854486111,9.48423511790275,8.3,3.8
1.083675159,0.0,8.0,3.6
1.502991339,0.0,7.7,3.5
1.777478196,0.0,7.6,3.6
1.728572974,0.0,7.5,4.0
1.605278907,0.0,7.6,4.6000000000000005
1.4752818,0.0,8.0,4.9
1.214019106,0.0,8.3,4.800000000000001
0.954059489,0.0,8.200000000000001,4.5
0.697173035,0.0,7.800000000000001,4.1000000000000005
0.597063624,0.0,7.5,3.8
0.563958893,0.0,7.5,3.8
0.561954233,0.0,7.6,3.8
0.564569048,0.0,7.5,3.4000000000000004
0.611422238,0.0,7.6,3.0
0.803033477,0.0,7.6,2.6
1.073024606,0.0,7.6,2.1
0.988499064,0.0,7.7,1.8
0.830603982,8.622031925366137,8.3,1.9
0.81922125,25.866095776098412,9.0,2.1
0.829634338,137.16513728585466,9.5,2.2
0.814788399,176.74767442038853,9.6,2.2
0.792035895,191.5666965736069,9.4,1.9
0.792231247,12.933047888049206,8.9,1.4
0.854486111,6.035422347756297,8.0,1.1
1.083675159,0.0,7.4,1.0
1.50275718,0.0,7.2,1.0
1.777478196,0.0,6.9,0.9
1.728572974,0.0,6.6000000000000005,0.9
1.600127698,0.0,6.5,0.8
1.458960971,0.0,6.300000000000001,0.7000000000000001
1.197780545,0.0,6.4,0.7000000000000001
0.941079653,0.0,6.4,0.7000000000000001
0.683778317,0.0,6.2,0.5
0.592314746,0.0,6.0,0.4
0.555317985,0.0,5.7,0.5
0.54527393,0.0,5.5,0.6000000000000001
0.546470916,0.0,5.4,0.8
0.596501616,0.0,5.5,1.0
0.805735318,0.0,5.6000000000000005,1.1
1.059615788,0.0,5.7,1.1
0.986133521,0.0,6.2,1.1
0.827915272,10.346438310439366,6.9,1.4
0.81328992,5.173219155219683,7.4,1.6
0.829634338,18.9684702358055,7.800000000000001,1.6
0.814788399,49.14558197458698,8.1,1.5
0.792035895,13.79525108058582,8.1,1.3
0.792231247,18.10626704326889,7.7,0.9
0.854486111,6.035422347756297,7.1000000000000005,0.5
1.083675159,0.0,6.7,0.5
1.50275718,0.0,6.4,0.7000000000000001
1.777478196,0.0,6.4,1.0
1.728572974,0.0,6.4,1.5
